           0  -1.245930   0.000  0.000  0.000   7  0 1.136364
        1000  -1.240259   0.083  0.259  0.000   7  0 1.136364
        2000  -1.320043   0.088  0.258  0.000   8  0 1.000000
        3000  -1.275156   0.092  0.257  0.000   7  0 1.136364
        4000  -1.318663   0.093  0.262  0.000   6  0 3.181818
        5000  -1.198995   0.092  0.265  0.000   7  0 1.136364
        6000  -1.410008   0.094  0.266  0.000   8  0 1.000000
        7000  -1.356095   0.095  0.266  0.000   8  0 1.000000
        8000  -1.283468   0.097  0.267  0.000   8  0 1.000000
        9000  -1.305839   0.097  0.266  0.000   8  0 1.000000
       10000  -1.353846   0.098  0.267  0.000   7  0 1.136364
       11000  -1.340259   0.097  0.270  0.000   6  0 3.181818
       12000  -1.337851   0.097  0.270  0.000   8  0 1.000000
       13000  -1.369598   0.098  0.269  0.000   8  0 1.000000
       14000  -1.193248   0.098  0.269  0.000   7  0 1.136364
